DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU10448	Deserpidine: 0.125mg; Hydrochlorothiazide: 50mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10449	Deserpidine: 0.25mg; Hydrochlorothiazide: 25mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10179	Interferon alfa-2a: 3MU; Temsirolimus: 25 mg	null	Carcinoma, Renal Cell	Efficacious	Unclear	Phase 3	NCT00065468	C64.9 Malignant neoplasm of unspecified kidney, except renal pelvis	C00-D48  Neoplasms; C64-C68  Malignant neoplasms of urinary tract; C64  Malignant neoplasm of kidney, except renal pelvis; C64.9 Malignant neoplasm of unspecified kidney, except renal pelvis	null	null	null
DCU10193	null	null	Advanced Non-Small Cell Lung Cancer	Non-efficacious	Unclear	Phase 3	Literature curated	C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung; C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	null	null	null
DCU10206	null	null	Disseminated Neuroblastoma	Efficacious	Unclear	Phase 3	NCT00026312	C74.9 Malignant neoplasm of unspecified part of adrenal gland	C00-D48  Neoplasms; C73-C75  Malignant neoplasms of thyroid and other endocrine glands; C74  Malignant neoplasm of adrenal gland; C74.9 Malignant neoplasm of unspecified part of adrenal gland	null	null	null
DCU10207	Aspirin: 75 mg; Heparin: 40 mg	null	Recurrent Abortion	Efficacious	Unclear	Phase 2	NCT01051778	N96 Recurrent pregnancy loss	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N96  Recurrent pregnancy loss	null	null	null
DCU10212	null	null	"Parkinson's Disease"	Efficacious	Unclear	Phase 4	NCT00590122	"G20 Parkinson's disease"	"G00-G99  Diseases of the nervous system; G20-G26  Extrapyramidal and movement disorders; G20  Parkinson's disease"	null	null	null
DCU10240	Ethambutol: 800 mg; Isoniazid: 300 mg	null	Human Immunodeficiency Virus Infection	Efficacious	Unclear	Phase 3	NCT00351702	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU10290	Atazanavir: 300 mg; Lopinavir: 400 mg; Ritonavir: 100 mg	null	HIV Infection	Need further study	Unclear	Phase 4	Literature curated	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU10310	Atorvastatin: 10 mg; Ezetimibe: 10 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 4	NCT00652327	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	null	null	null
DCU10312	Bevacizumab: 10mg/kg; Temsirolimus: 25mg	null	Metastatic Renal Cell Carcinoma	Non-efficacious	Unclear	Phase 2	NCT00619268	C64 Malignant neoplasm of kidney, except renal pelvis	C00-D48  Neoplasms; C64-C68  Malignant neoplasms of urinary tract; C64  Malignant neoplasm of kidney, except renal pelvis	null	null	null
DCU10319	Morphine sulfate: 20 mg; Naltrexone hydrochloride: 0.8 mg	capsule, extended release;oral	Moderate to severe around-the-clock pain	Efficacious	null	Approved	FDA orange book	R52 Pain, unspecified	R00-R99   Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified; R50-R69  General symptoms and signs; R52  Pain, unspecified	null	null	null
DCU10320	Amphetamine: 7.5 mg; Dextroamphetamine: 10 mg	tablet;oral	Attention Deficit Hyperactivity Disorder (ADHD) and Narcolepsy.	Efficacious	null	Approved	FDA orange book	F90.2 Attention-deficit hyperactivity disorder, combined type	F00-F99  Mental and behavioural disorders; F90-F98  Behavioural and emotional disorders with onset usually occurring in childhood and adolescence; F90  Attention-deficit hyperactivity disorders; F90.2 Attention-deficit hyperactivity disorder, combined type	null	null	null
DCU10321	Amlodipine: 5 mg; Hydrochlorothiazide: 12.5 mg; Valsartan: 160 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10322	Amlodipine: 10 mg; Hydrochlorothiazide: 25 mg; Valsartan: 160 mg	tablet;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10323	Amoxicillin: 500 mg; Clarithromycin: 500 mg; Omeprazole: 20 mg	capsule, tablet, capsule, delayed release;oral	Hypertension	Efficacious	null	Approved	FDA orange book	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU10324	Atorvastatin calcium: eq 10mg base; Ezetimibe: 10mg	tablet;oral	Hypercholesterolemia	Efficacious	null	Approved	FDA orange book	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	null	null	null
DCU10325	Atorvastatin calcium: eq 20mg base; Ezetimibe: 10mg	tablet;oral	Hypercholesterolemia	Efficacious	null	Approved	FDA orange book	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	null	null	null
DCU10326	Atorvastatin calcium: eq 40mg base; Ezetimibe: 10mg	tablet;oral	Hypercholesterolemia	Efficacious	null	Approved	FDA orange book	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	null	null	null
DCU07502	Follitropin beta: 450 UI; Peginterferon alfa-2a: 180 mcg/wk; Ribavirin: 2g/day	null	Chronic Hepatitis C	Non-efficacious	Unclear	Phase 4	NCT00526448	B18.2 Chronic viral hepatitis C	A00-B99  Certain infectious and parasitic diseases; B15-B19  Viral hepatitis; B18  Chronic viral hepatitis; B18.2 Chronic viral hepatitis C	null	null	null
DCU07514	null	null	Advanced Non-Small Cell Lung Cancer	Non-efficacious	Unclear	Phase 3	Literature curated	C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung; C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	null	null	null
DCU07520	null	null	Breast Cancer	Non-efficacious	Unclear	Phase 3	NCT00540800	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU07530	Amlodipine: 5/10 mg; Hydrochlorothiazide: 12.5/25 mg	null	Hypertension	Efficacious	Unclear	Phase 4	NCT00439738	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU07553	Candesartan: 32 mg; Hydrochlorothiazide: 25 mg	null	Hypertension	Efficacious	Unclear	Phase 3	NCT00867490	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU07555	Norethindrone: 5 mg; Triptorelin: 11.25 mg	null	Ovarian Function Restoration After Chemotherapy for Lymphoma	Need further study	Unclear	Phase 2/3	NCT01160315	null	null	null	null	null
DCU07557	Dobutamine: 8mcg/kg/min; Dopexamine: 5mcg/kg/min; Epinephrine: 0.2 mcg/kg/min; Norepinephrine: 0.2 mcg/kg/min	null	Oral Cancer	Efficacious	Unclear	Phase 4	NCT01418118	C06  Malignant neoplasm of other and unspecified parts of mouth	C00-D48  Neoplasms; C00-C14  Malignant neoplasms of lip, oral cavity and pharynx; C06  Malignant neoplasm of other and unspecified parts of mouth	null	null	null
DCU07569	Edoxaban: 30 mg; LMWH: 1.5 mg/kg	null	Venous Thromboembolism	Efficacious	Unclear	Phase 3	NCT00986154	I81  Portal vein thrombosis; I82  Other venous embolism and thrombosis	I00-I99  Diseases of the circulatory system; I80-I89  Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified; I81  Portal vein thrombosis | I00-I99  Diseases of the circulatory system; I80-I89  Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified; I82  Other venous embolism and thrombosis	null	null	null
DCU07573	Mycophenolate mofetil:  1gm; Rapamycin: 5-8 ng/ml; Tacrolimus: 1 gm	null	Type 1 Diabetes	Efficacious	Unclear	Phase 2	NCT00533442	E10 Type 1 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E10  Insulin-dependent diabetes mellitus	null	null	null
DCU07600	Clarithromycin: 1 g/d; Fluticasone Propionate: 178 mg/d	null	Asthma	Efficacious	Unclear	Phase 3	NCT00318708	J45 Asthma	J00-J99   Diseases of the respiratory system; J40-J47  Chronic lower respiratory diseases; J45  Asthma	null	null	null
DCU07604	Bupropion: 100-450 qam; Citalopram: 10-40 qam; Sertraline: 25-150 qam	null	Acute Coronary Syndrome	Efficacious	Unclear	Phase 1/2	NCT01032018	I24.9 Acute ischemic heart disease	I00-I99  Diseases of the circulatory system; I20-I25  Ischaemic heart diseases; I24  Other acute ischemic heart diseases; I24.9 Acute ischemic heart disease	Depressive symptoms decreased significantly more in the active treatment group than in the usual care group (differential change between groups, -3.5 BDI points; 95% CI, -6.1 to -0.7; P = .01).	null	better effects compared with standard therapy
DCU07611	Atazanavir: 300 mg; Cobicistat: 150 mg; Emtricitabine: 200 mg; Tenofovir: 300 mg	null	HIV Infection	Efficacious	Unclear	Phase 3	NCT01108510	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU07615	null	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00054717	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU07616	null	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00144170	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU07617	Docetaxel: 75mg/m2; Pertuzumab: 420 mg; Trastuzumab: 8mg/kg	null	Breast Cancer	Efficacious	Unclear	Phase 2	NCT00545688	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU07618	Docetaxel: 75mg/m2; Pertuzumab: 420 mg; Trastuzumab: 8mg/kg	null	Metastatic Breast Cancer	Efficacious	Unclear	Phase 3	NCT00567190	C50 Malignant neoplasm of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU07623	Cyclosporine : 50-90 ng/ml; Mycophenolate mofetil: 250 mg; Prednisolone: 0.5 mg	null	Heart Transplantation	Efficacious	Unclear	No information	NCT00359658	Z94.1 Heart transplant status	Z00-Z99   Factors influencing health status and contact with health services; Z80-Z99  Persons with potential health hazards related to family and personal history and certain conditions influencing health status; Z94  Transplanted organ and tissue status; Z94.1 Heart transplant status	null	null	null
DCU07625	Ethinyl Estradiol: 20 mcg/d; Medroxyprogeterone acetate: 10 mcg/d; Somatropin: 0.05 mg/kg	null	Turner Syndrome	Non-efficacious	Unclear	Phase 3	NCT00191113	Q96 Turner-Syndrom	"Q00-Q99   Congenital malformations, deformations and chromosomal abnormalities; Q90-Q99  Chromosomal abnormalities, not elsewhere classified; Q96  Turner's syndrome"	null	null	null
DCU07628	Capecitabine: 2.5 g/d; Cisplatin: 60 mg/m2; Imatinib: 300 mg/d	null	Gastric Cancer	Need further study	Unclear	Phase 1	NCT00601510	C16 Malignant neoplasm of stomach	C00-D48  Neoplasms; C15-C26  Malignant neoplasms of digestive organs; C16  Malignant neoplasm of stomach	null	null	null
DCU07644	Boceprevir: 800 mg/d; Peginterferon alfa-2b: 1.5 mcg.kg; Ribavirin: 600-1400 mg/d	null	HIV Infections	Efficacious	Unclear	Phase 2	NCT00959699	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU10327	Estradiol: 0.05 mg/24hr; Norethindrone acetate: 0.14 mg/24hr	film, extended release;transdermal	Menopausal syndrome	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10328	Estradiol: 0.05 mg/24hr; Norethindrone acetate: 0.25 mg/24hr	film, extended release;transdermal	Menopausal syndrome	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10329	Estradiol: 0.5 mg; Norethindrone acetate: 0.1 mg	tablet;oral	Menopausal syndrome	Efficacious	null	Approved	FDA orange book	N95.1 Menopausal and female climacteric states	N00-N99   Diseases of the genitourinary system; N80-N98  Noninflammatory disorders of female genital tract; N95  Menopausal and other perimenopausal disorders; N95.1 Menopausal and female climacteric states	null	null	null
DCU10330	Metformin hydrochloride: 1 g; Saxagliptin hydrochloride: eq 2.5 mg base	tablet, extended release;oral	Type 2 Diabetes Mellitus	Efficacious	null	Approved	FDA orange book	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU10331	Metformin hydrochloride: 1 g; Saxagliptin hydrochloride: eq 5 mg base	tablet, extended release;oral	Type 2 Diabetes Mellitus	Efficacious	null	Approved	FDA orange book	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU10332	Metformin hydrochloride: 500 mg; Saxagliptin hydrochloride: eq 5 mg base	tablet, extended release;oral	Type 2 Diabetes Mellitus	Efficacious	null	Approved	FDA orange book	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU10333	Cobicistat: 150mg; Elvitegravir: 150mg; Emtricitabine: 200mg; Tenofovir disoproxil fumarate: 300mg	tablet;oral	HIV-1 Infections	Efficacious	null	Approved	FDA orange book	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
